ISO New England assesses the potential impact of wind conditions on transmission line ratings by considering the uniqueness of the New England geographic and operational environment. They note that incorporating wind speed and direction into line ratings may lead to increased uncertainty rather than clear benefits due to the region's low levels of thermal congestion. 	How does ISO look at  the potential impact of wind conditions on transmission line ratings	In the ANOPR, the Commission preliminarily proposes to require certain transmission lines to reflect up-to-date forecasts of wind conditions, including wind speed and direction for use in 48-hour transmission service.This would be required only for transmission lines that exceed certain thresholds for wind speed. For transmission lines subject to this requirement, Transmission Providers must use transmission line ratings that account for wind speed and direction for hourly and daily point-to-point transmission services under the pro forma OATT that fall within a 48-hour time horizon.	https://www.iso-ne.com/static-assets/documents/100016/rm24-6_iso-ne_dlr_anopr_comments.pdf
ISO proposes that changes in line rating methodologies, particularly the incorporation of wind speed and direction, should only be considered when congestion levels exceed a sufficiently high threshold.	What metrics does ISO look at in line rating methodologies?	These would include: “requiring transmission line ratings to reflect solar heating based on the sun’s position and forecastable cloud cover; [and] requiring transmission line ratings to reflect forecasts of wind conditions – wind speed and wind direction – on certain transmission lines.”	https://www.iso-ne.com/static-assets/documents/100016/rm24-6_iso-ne_dlr_anopr_comments.pdf
Through or Out Service allows Market Participants to export energy to adjacent control areas and settle these transactions in the Real-Time Energy Market based on deviations from Day-Ahead activities.	What is the purpose of Through or Out Service?	2.4.1 Through or Out Transmission Service Accounting This section of the manual describes the Through or Out Service accounting treatment in the Real-Time Energy Market. 2.4.1.1 OUT SERVICE A Market Participant can utilize Through or Out Service to export energy at external nodes to control areas adjacent to the New England Control Area. The service is established by the submittal and subsequent scheduling of a Real-Time export transaction at an external node, which creates a load obligation at that location. The transaction is settled in the Real-Time Energy Market as the deviation of from Day-Ahead activity at the node, multiplied by the components of the Real-Time LMP at the node. 2.4.1.2 THROUGH SERVICE A Transmission Customer can utilize Through or Out Service in the Real-Time Energy Market to wheel energy from one external node to another external node of the New England Control Area. The service is established by the submittal and subsequent scheduling of a Real-Time external transaction which identifies two external nodes. The transaction creates a generation obligation at the importing external node, and a load obligation at the exporting external node. The transaction is settled in the Real-Time Market as the deviation from Day-Ahead activity at each location. As there is no Through Service in the Day-Ahead Market, the settlement of this type of transaction in Real-Time effectively becomes the difference between the Real-Time congestion and loss components at the two external nodes. (The difference in the energy component settlement always nets to zero, since the energy components of the LMP are uniform at all pricing locations.)	https://www.iso-ne.com/static-assets/documents/trans/services/types_apps/rns_tout_srvc_agrmnt_app.docx
The two types are Internal Bilateral for Market for Energy and Internal Bilateral for Load, which are settled by the ISO for the Energy Market.	What are the two types of Bilateral Transactions?	There are two types of Internal Bilateral Transactions that Market Participants may enter into that are settled by the ISO for the Energy Market: Internal Bilateral for Market for Energy and Internal Bilateral for Load. Bilateral transactions are not part of the Day-Ahead clearing process or Real-Time dispatch; however, an Internal Bilateral Transaction submitted to the ISO is a physical transfer of an energy obligation.Please see the user guide for Submitting Internal Bilateral Transactions Using SMS for descriptions of the features of each type of Internal Bilateral Transaction and the mechanics of their submittal to the ISO. All such transactions must be submitted and confirmed in advance of the appropriate deadline, defined as the Day-Ahead Internal Bilateral Transaction Trading Deadline and Real-Time Internal Bilateral Transaction Trading Deadline.	https://www.iso-ne.com/static-assets/documents/trans/services/types_apps/rns_tout_srvc_agrmnt_app.docx
The ISO must provide loss data by 0800 of the next Business Day; failure to do so delays the Host Participant's daily settlement data submission by one hour for each hour of delay, up to a maximum of 1700 three Business Days after the Operating Day.	What is the deadline for the ISO to provide loss data for settlement?	By 0800 of the next Business Day following the Operating Day, the ISO provides loss data for which it is the Assigned Meter Reader to the appropriate Market Participants. If the ISO fails to provide this data by the time frame indicated, the deadline for Host Participant daily settlement data submission will be delayed by one hour for each hour that the data is delayed but in no case will the deadline for Host Participant daily settlement data submission be extended beyond the beginning of hour 1700 three Business Days after the Operating Day.	https://www.iso-ne.com/static-assets/documents/trans/services/types_apps/rns_tout_srvc_agrmnt_app.docx
In the Day-Ahead Energy Market, the ISO determines the least-cost means of satisfying the cleared Demand Bids, cleared Decrement Bids, Operating Reserve, Replacement Reserve, Local Second Contingency Protection Resource requirements and other applicable Ancillary Services requirements of Market Participants, including the reliability requirements of the New England Control Area. Following the Day-Ahead Energy Market scheduling process, after the Re-Offer Period and, as needed, throughout the Operating Day, the ISO will commit and de-commit Resources based upon the ISO’s forecast of actual loads to various Market Participants.	What does ISO do?	In the Day-Ahead Energy Market, the ISO determines the least-cost means of satisfying the cleared Demand Bids, cleared Decrement Bids, Operating Reserve, Replacement Reserve, Local Second Contingency Protection Resource requirements and other applicable Ancillary Services requirements of Market Participants, including the reliability requirements of the New England Control Area. Following the Day-Ahead Energy Market scheduling process, after the Re-Offer Period and, as needed, throughout the Operating Day, the ISO will commit and de-commit Resources through the Reserve Adequacy Analysis, based upon the ISO’s forecast of actual loads (including some External Transactions), resource availability and Self-Scheduled Resources for the next Operating Day.	https://www.iso-ne.com/static-assets/documents/100006/m_11_revision_61_effective_12_5_2023.pdf
The start-up will be cancelled if there is a reliability concern that needs to be addressed.	When will the start-up of gas be cancelled?	If a Market Participant has procured gas for a gas-fired Generator Asset that is ordered to come on-line after the close of the Day-Ahead Energy Market, the start-up will not be cancelled unless there is a reliability concern that needs to be addressed.	https://www.iso-ne.com/static-assets/documents/100006/m_11_revision_61_effective_12_5_2023.pdf
The start-up will be cancelled if there is a reliability concern that needs to be addressed.	When will the start-up of gas be cancelled?	When a gas-fired Generator Asset is given an hourly commitment schedule in the Reserve Adequacy Analysis, the ISO will honor the hourly commitment schedule at the Generator Asset’s Economic Minimum Limit for the commitment, unless there is a reliability concern that needs to be addressed.	https://www.iso-ne.com/static-assets/documents/100006/m_11_revision_61_effective_12_5_2023.pdf
10 days prior to start of transaction.	When is the earliest that an External Transactions can be submitted?	Table in Section 3.2.2 External Transaction Submission Timelines	https://www.iso-ne.com/static-assets/documents/100006/m_11_revision_61_effective_12_5_2023.pdf
Market Participants with an Import Capacity Resource with a Capacity Supply Obligation must use the Import Resource option to notify ISO that the transaction is backing an Import Capacity Resource.	How should Market Participants notify ISO that an External Transaction is backing an Import Capacity Resource?	Market Participants with an Import Capacity Resource with a Capacity Supply Obligation must use this option to notify ISO that the transaction is backing an Import Capacity Resource. For transactions submitted under Section III.1.10.7A, this information must be included on Day-Ahead Market External Transaction.	https://www.iso-ne.com/static-assets/documents/100006/m_11_revision_61_effective_12_5_2023.pdf
